id,commentText,Labels
Ugz7LQV0ZWpuNnjBaxJ4AaABAg,i  love potato ke prathe,2
UgxvWJ_kJL2nePTkg2N4AaABAg,Wwaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaww,3
UgxxeUmiH9f8XOZZWr14AaABAg,Nice,3
Ugz-UPvwHMx4nSKVoCB4AaABAg,Wow Amazing,3
UgzfXhbesBABQzi4-m94AaABAg,Thank you madam,1
Ugy_z2dIVhsLV_55_Gd4AaABAg,nice,3
UgxaqLJOhaNOoxFtQvl4AaABAg,Nice,3
UgzWarQy187cKMdSg6F4AaABAg,Execllent women,4
Ugx2WzFYu7zTYpVICTB4AaABAg,soo kind..,4
Ugy9Kw-hUDyhUHTp-n94AaABAg,I canâ€™t believe she has 6.6 million subs from 2019,6
UgzdnoS7dMGulN938_p4AaABAg,Nice,3
UgxDbo0qlPNw2utYEKl4AaABAg,thanksðŸ˜Š,1
UgxKY-kAcoTF5YUECiF4AaABAg,Atta flour means wheat flour?,7
Ugw4e66RcQSthO3RdNN4AaABAg,"Paratha,Liked the kitchen design.",6
Ugy-deo0jRQmB4oLvR54AaABAg,Tasty aloo paratha,2
UgzMPwWt8iwCalCJEel4AaABAg,Thanks Aunty â¤ï¸,1
UgwyvBrq9B5TgScAfnt4AaABAg,Superb,3
Ugygf97lHQ4Gf2QCs1l4AaABAg,"Aunty aapne bahut hi acha aur bqhut simplicity ke saath explain kiya.. Aise hamare Desh me teachers ho jaye to phir kisi bacche ko tutions ki need ni ho..U are such a inspiration..
And paratha is also very good, healthy ..",4
UgxaGltVh_0xRip-7ph4AaABAg,Your instructions are really useful ma'am..,4
UgzGA3x-Nilg5kfEE8h4AaABAg,ur way of explaining is best aunty ji,4
UgyksaV2ELSG6e8K-ul4AaABAg,I love this word: thody se chotty thody se bady bana sakty hyn.,6
UgxTy_5_cpoSaJ1D-V54AaABAg,nisha aunty you are soooooooo humble and sweet.keep it upðŸ’ðŸ’ðŸ’ðŸ’ðŸ’ðŸ’ðŸ’ðŸ’ðŸ’ðŸ’ðŸ’ðŸ’žðŸ’•ðŸ’–ðŸ’ŸðŸ’—,4
UgwjgOUdBOrKtGB7PHt4AaABAg,Wao,3
UgwaAfc1Fkyt0aQingp4AaABAg,thanks,1
UgzuNZVU4BVrUdnSXap4AaABAg,Awesome,3
Ugzc0KO2xCxnHKOR_194AaABAg,app mera bhahi hote toh bariya hota roj kuch na kuch naya khane ko milta,6
UgwS-aLIcpwxTO5dKBZ4AaABAg,Nice,3
UgxXa0L4-ELMo_rH8eF4AaABAg,Hello Nisha anti mai new hun bht mazy k pharahty bane muje  se ap ki video dhek kr thank God muje reply kijy ga nd Maine kuch or bana hu Kia likhun,6
UgwO7TMloh6Rr5TbMAx4AaABAg,Beshk u r great .. Blessings frm pakistan ðŸ˜,4
UgwK8dD7Jatckqi7dtt4AaABAg,Madam aap thoda nail cut karo suggestion hai mera cooking karte time warna gloves wear karo,6
UgzJUGx4JLbmPGbrbFF4AaABAg,wowðŸ˜™,3
UgwtRzePK07OwCd-Rk14AaABAg,Love from Kerala,6
UgyQP_DqpubzSm8OPet4AaABAg,bhot Asha aalo vala prantha,2
UgzOOnQsM8F0XhIn0ht4AaABAg,Vedio bohot accha laga mam..........,3
UgzIk24DmjUvmhfjICV4AaABAg,Nice recipe & easy to cook....ðŸ‘ŒðŸ‘Œ,2
UgzB2uh6BMK_DEa71rp4AaABAg,Yummy yummy super yummy ðŸ–’ðŸ–’ðŸ–’aaloo prathe ðŸ’–,2
Ugw9R3QGVp5StGUk4j94AaABAg,mam mere potatoes ko mne boil krke cooker mein chod diye the 1hour after mne potatoes ko cheel ke masala banaya to masala kafi loose ho gya uske baad mne unhe choka bhi laga diya phir bhi parathe nhi bn rhe h pls bataye kya kre,7
UgxrTdLbwfPhPvVcGM94AaABAg,yummy,2
UgxOT3N829C9sHuMjcN4AaABAg,she is still young due to her cooking.,4
Ugx1sdcp0f2Y4kiON2R4AaABAg,Very nice madam ji,3
UgyFlq8cRbAndsISPat4AaABAg,"Mam u are highly talented and ,ur cooking skills are extraordinaryðŸ‘ðŸ‘ðŸ‘ŒðŸ‘Œ",4
UgyytaNYCrpaOT_jUyF4AaABAg,Good aunty,3
UgzCFUhDDzzOVIMT87R4AaABAg,Your voice is nice,4
UgzQEelo6oTL2Q9HlPd4AaABAg,nice,3
UgxqIgR7OTax2t4X5KR4AaABAg,You explain very clearly and sweetly ma'am...Thank you,4
UgwCG8hJuM1pj1yQ3fZ4AaABAg,Mam jab paratha belte hai tao sara masala corner pe aa jata h center me kuch nhi rahta,6
UgzO07TK_9b7ST1b3RV4AaABAg,Also paratha receipe nice very niceðŸ‘ŒðŸ‘ŒðŸ‘ŒðŸ‘ŒðŸ‘ŒðŸ‘Œ,2
Ugw7tGFLHx0CIvMmLWp4AaABAg,Nisha mam i tried it n it was too good...i make parathas dis way for my kids once in a week n dey enjoy it.u showed a very awesome recipe.....God bless u n ur loved ones :-),5
Ugx__OWrYJcf_9jk_0t4AaABAg,"Thanks mam 
It's very easy and yummy",5
Ugy1YJkxLz365GWZ33t4AaABAg,Wow wow wow mouth watering,2
UgyJM2U3Rg6FVAhtKnF4AaABAg,My mom is not here so I wanted to make aloo ka paratha and this vid helped me thanks,1
UgxqlgWH3gwsxFHpOCN4AaABAg,Madam oil ka place ghee use kar sakthe he kya,7
UgzSwhj05oKcw19Qlat4AaABAg,Very delicious ðŸ‘ŒðŸ‘Œ,2
Ugxyzv_J_RHCuroyPtN4AaABAg,very good and nice recipe mam,2
UgyiE9p8wXTwFLKANLx4AaABAg,Thanks aap itna Achha paratha Banai hai aur aap bahut acchi hai thanks,5
Ugy_OtEYtlobmOpWa3Z4AaABAg,Itna oilðŸ™„,6
UgwOTw0fzUuy-3yrtf94AaABAg,Osm pratha aunty ji,2
UgydZCdaVGhIU2pTBKZ4AaABAg,Who try this please one like,6
Ugw9Bc_FktVSW8vaIt94AaABAg,Wow apke parathe kitte kitte mast h ..wow mughe to abi khane ka mn kr rhe h....mae bi aj hi bnaungi,6
UgyhB1mrcQih8xqgauF4AaABAg,Thank you !ðŸ˜,1
Ugx_bK1uXWs0mLuHd1J4AaABAg,"Ma'am really your all recipes are testy , i'm ur big fan , this paratha recipe also very nice.",4
Ugw4uiDJtrL4Pj9Lk094AaABAg,Majedar bana hai Aloo paratha ðŸ‘ŒðŸ‘Œ,2
UgwiYYdQI_xAQ6wB1yh4AaABAg,M newly mrd i dono anythng to cook my hubby lyks alu paratha tqsm mam fr dis recipeðŸ˜˜ðŸ˜˜,1
UgyYBhumbCwPm9zi-pl4AaABAg,Nyc,3
UgwkzBEf0ViS14eXyUB4AaABAg,This women is very good,4
Ugx7f5ITllUosaaCmUp4AaABAg,Very good pratha ji,2
Ugyg6tWocXMJZcuxnBR4AaABAg,Thanku mam,1
Ugzchve_wz7k52xVGK14AaABAg,"Very very nice holiday i cook
my grandson
im also cooking expert  in all 
once again i wish you",6
UgxFosCqmhEkvS_Lnw94AaABAg,Thank you mam bht testy hai...,1
UgxRRjpH2TXu2sO4VBJ4AaABAg,Nice bhabi ji,3
UgxgRyaaVMa0RKjuX854AaABAg,Mam AAP bahut ache tarike se sikhati h.thanks,5
UgzEhXxI-rPH5ByBNI54AaABAg,Thanku so much,1
UgzpPvqmJ4mnR_fNdMZ4AaABAg,I am trying  early morning,6
Ugz_NVytBR5IBXTtZQJ4AaABAg,Nice Aunty ji,3
Ugxuzrar2raYrn1WrbJ4AaABAg,"Thank you I tried it 
It is very tasty",5
Ugwk5GlAutd9TNvdL2J4AaABAg,Thanks mummy ji.,1
UgwF8AKD-iS3zMQKlH14AaABAg,"auntie its me again THE JOKERfrom kashmir and i wanted to ask that,can we use gram flour(besan)instead of wheat flour(maida)",7
UgzMCeQfUhM9gbOnEsZ4AaABAg,Very nice parathe,2
UgzmPfyPU5D1id-blat4AaABAg,Super  mam,3
UgwsqmKbMTCoMTUp-Gt4AaABAg,koi new recipe dijiye Nisha ji,6
Ugwv4F5qKmICAh36aH14AaABAg,Thanks...,1
UgzLSmXvbJnQ3xXgVmp4AaABAg,Yummmmmmy ma abi try krny lgii hu,2
Ugzu0QTILObb8eIBGFJ4AaABAg,Nice recipe.aap ka andaz itna pyara he samjhane ka ke kia hi baat he.thanks for the recipe,5
Ugw2FsdGLPmnrFnQr_14AaABAg,Very yammyyyyyyyyyyyyyyyy,2
UgxU4J4BeGOcaNYfPyZ4AaABAg,Really nice Paratha ðŸ¤¤ðŸ¤¤,2
Ugzq7_oXO7378XMbAPd4AaABAg,I will try,6
Ugzk9kAlVlPeFefhHeF4AaABAg,MarshAllah beautiful excellent parathay,2
UgwnPFWjI_f6QRssnpt4AaABAg,Mam m koi bhi stuffed paratha bnati hu to sari stuffing kinaro p aa jati h or beech m sirf aata reh jata h. To kya kru ki stuffing pure parathe m evenly lg jaye,7
Ugx56BoZct-_TOUNbbd4AaABAg,aaj to  me bhi ese try karugi   mujhe to aloo ke parathe banana aate hi nhi the thank you so much mam,1
UgwkR9hyATkAJsc6PiF4AaABAg,Very very nice thank you for sharing ðŸ‘,5
UgzgLNGDoumBcgaOOxh4AaABAg,Superb aunty ji aapse bahut sikhne ko milta hai ab main bhi aapke wajah se ache paranthe banane legi hoon  thankyou aunty ji,5
Ugxd0BOrn52VRvdmvot4AaABAg,"Great, thanks a lot for the yummy parathas",5
